codigo_articulo,grupo,subgrupo,descripcion,unidad_medida
0101030,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 160, S/C, ASTM A106 GR. B, EXT PLANOS, ISO 15156-2/NACE MR 0175, ASME B36.10M",MT
0101031,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 12"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2 / NACE MR 0175, ASME B36.10M",MT
0101032,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 20"", CEDULA STD, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2/NACE MR 0175, ASME B36.10M",MT
0101033,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 16"", CEDULA 120, S/C, ASTM A106 GR. B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101034,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 20"", CEDULA 80, S/C, ASTM A106 GR. B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101035,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 3"", CEDULA 160, S/C, ASTM A106 GR. B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101036,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1-1/2"", CEDULA 80, S/C, ASTM A 106 GR. B, GALVANIZADO EN CALIENTE, ISO 1461, EXT ROSCADO",MT
0101037,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ASTM A-106 Gr.B., EXT BISELADOS, NACE MR0175.",MT
0101038,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ACERO AL CARBON, EXT PLANOS, ISO 15156-2, ASME B36.10",MT
0101039,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156",MT
0101040,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 3/4"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156",MT
0101041,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2 1/2"", CEDULA 40, S/C, ASTM A-106 Gr. B, EXT BISELADOS",MT
0101042,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1 1/2"", CEDULA 40, S/C, ASTM A-106 Gr. B, EXT BISELADOS",MT
0101043,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 24"", CEDULA 40, S/C, ASTM A106 GR. B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101044,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA 40, S/C, ASTM A53 A 106, EXT LISO",MT
0101045,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 40, S/C, ASTM, EXT LISO, 150#, 6 METROS",MT
0101046,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 20"", CEDULA 40, S/C, AS TM A-106, EXT BISELADOS, NACE MR0175",MT
0101047,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 6"", CEDULA 40, S/C, ASTM A106 GR. B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101048,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA STD, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156, ASME B36.10M",MT
0101049,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 3/4"", CEDULA 80, S/C, ASTM A106 GR.B, EXT PLANO, ISO 15156-2, ASME B36.10M",MT
0101050,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 16"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2/NACE MR 0175, ASME B36.10M",MT
0101051,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 3/4"", CEDULA 160, S/C, ASTM A106 GR.B, EXT PLANO, SO 15156-2, ASME B36.10M",MT
0101052,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 1"", CEDULA 160, S/C, ASTM A-106, GR. B, EXT PLANOS, NACE MR-0175",MT
0101053,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156/NACE MR 0175, ASME B36.10",MT
0101054,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA 40, S/C, ASTM A-503, ACABADO NEGRO, EXT LISO, ASME B36.10M",MT
0101055,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 3"", CEDULA 40, S/C, ASTM A106 Gr.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101056,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 18"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101057,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 6"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101058,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 12"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, NACE MR0175, ASME B16.9",MT
0101059,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, NACE MR0175, ASME B16.9",MT
0101060,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, NACE MR0175, ASME B16.9",MT
0101061,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ASTM A-106 GR B, EXT PLANOS, ISO 15156/NACE MR 0175, ASME B36.10",MT
0101062,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 12"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2/NACE MR0175, ASME B16.9",MT
0101063,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 8"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2/NACE MR0175, ASME B16.9",MT
0101064,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 10"", CEDULA 80, S/C, ASTM A106 GR. B, EXT BISELADOS, NACE MR0175, ASME B16.9",MT
0101065,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 1"", CEDULA 80, S/C, ASTM A106 Gr. B, EXT BISELADOS, ISO 15156-2 /NACE MR0175, ASME B16.9",MT
0101066,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 10"", CEDULA 40, S/C, ASTM A106 Gr. B, EXT BISELADOS, ISO 15156-2/NACE MR0175, ASME B16.9",MT
0101067,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 16"", CEDULA 40, S/C, ASTM A106 Gr. B, EXT BISELADOS, ISO 15156-2/NACE MR0175, ASME B16.9",MT
0101068,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1/2"", CEDULA 160, S/C, ASTM A106, EXT PLANOS, ISO 15156/NACE MR 0175, ASME B36.10",MT
0101069,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 40, S/C, ASTM A-106 Gr.B, EXT BISELADOS, NACE MR0175",MT
0101070,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1-1/2"", CEDULA 30, S/C, ASTM A106 GR. B, EXT BISELADOS, ISO 15156-2 / NACE MR0175, ASME B36.10M",MT
0101071,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA 40, S/C, ., EXT ., EXTREMOS BISELADOS, ESPECIFICACION ASTM A53 GR, B. TIPO S Y DIMENSIONES Y REQUERIMIENTO ASME B36.101",MT
0101072,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 6"", CEDULA CEDULA 40, S/C, ., EXT ., EXTREMOS BISELADOS, ESPECIFICACIONES ASTM A106 GR, B. DIMENSIONES Y REQUERIMIENTO ASM B36.10 Y PARA SERVICIO AMARGO NACEMR- 0175/ISO 15156 (PARA MEDIAS CAÑAS EN TUBERIA DE 6"" Ø",MT
0101073,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA CEDULA 40, S/C, ., EXT ., EXTREMOS BISELADOS, ESPECIFICACION ASTM A106 GR, B. DIMENSIONES Y REQUERIMIENTOS ASME B36.10 Y PARA SERVICIO AMARGO NACEMR-0175/ISO 15156 (PARA MEDIAS CAÑAS EN TUBERIAS DE 4""Ø)",MT
0101074,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 4 PULGADAS, CEDULA 80, S/C, -, EXT -",MT
0101075,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1/2"", CEDULA 20, S/C, GALVANIZADO CON ROSCA, EXT 6 ME",MT
0101076,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 3"", CEDULA 40, S/C, ACERO AL CARBON, EXT -",MT
0101077,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, NACE MR 0175, ASME B36.10",MT
0101078,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ACERO AL CARBON, EXT SIN COSTURAS",MT
0101079,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ACERO AL CARBON, EXT SIN COSTURA",MT
0101080,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA 80, S/C, ACERO AL CARBON, EXT SIN COSTURA",MT
0101081,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 6"", CEDULA 80, S/C, ACERO AL CARBON, EXT SIN COSTURA",MT
0101082,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 8"", CEDULA 80, S/C, ACERO AL CARBON, EXT SIN COSTURAS",MT
0101083,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1"", CEDULA 160, S/C, ASTM A106 GR. B, S/C, EXT BISELADOS, ISO 15156-2 / NACE MR0175, ASME B16.9",MT
0101084,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, NACE MR0175, ASME B16.9",MT
0101085,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 3"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, NACE MR0175, ASME B16.9",MT
0101086,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO DE ACERO AL CARBON 3"", CEDULA 80, S/C, SIN COSTURA, EXT .",MT
0101087,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO DE 3"", CEDULA 80, S/C, ACERO AL CARBON, EXT SIN COSTURAS",MT
0101088,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 3 PULGADAS, CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101089,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ACERO AL CARBON, EXT NPT ROSCADO, 10 PIES, FIG 1502",MT
0101090,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ACERO AL CARBON, EXT NPT ROSCADO, 2 PIES, FIG 1502",MT
0101091,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ACERO AL CARBON, EXT NPT ROSCADO, 3 PIES, FIG 1502",MT
0101092,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 3"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2 / NACE MR0175, ASME B16.9",MT
0101093,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 8"", CEDULA STD, S/C, ACERO AL CARBON, EXT BISELADOS, ISO 15156/NACE MR 0175, ASME B36.10",MT
0101094,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1/2 "" (13 MM NOMINAL), CEDULA 40, S/C, ACERO AL CARBON GALVANIZADO, EXT 21.3 mm, CON COPLE, NORMA NMX-J-534-ANCE",MT
0101095,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1-1/2"", CEDULA 40, S/C, C-10, EXT NEGRO, LARGO 6 M",MT
0101096,01,01,"X, TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ASTM A-106 Gr.B, EXT BISELADOS, ISO 15156-2, NACE MR0175, ASME B16.9",MT
0101097,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 160, S/C, ASTM A-106 Gr.B, EXT BISELADOS, NACE MR0175, ASME B16.9",MT
0101098,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ASTM A-106 Gr.B, EXT BISELADOS, NACE MR0175, ASME B16.9",MT
0102001,01,02,"TUBO DE ACERO INOXIDABLE, DIAMETRO 1"", CEDULA 40, S/C, PARA VIAJE DE FLAMA DE 6.10 ML, CON CONECTORES TUERCA UNION DE 3000# FXM",MT
0102002,01,02,"TUBO DE ACERO INOXIDABLE, DIAMETRO 1/2"", CEDULA 40, S/C, PARA VIAJE DE FLAMA DE 6.10 ML, CON CONECTORES TUERCA UNION DE 3000# FXM",MT
0102003,01,02,"TUBO DE ACERO INOXIDABLE, DIAMETRO 3/4"", CEDULA 80, S/C, 316L, EXT PLANOS",MT
0104001,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 20"", ESPESOR DE PARED 0.375"", C/C, API 5L GR. BNS PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO3183L245NS, ISO 15156",MT
0104002,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 20"", ESPESOR DE PARED 0.938"", C/C, API 5L GR. BNS PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183L245NS, ISO 15156",MT
0104003,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 24"", ESPESOR DE PARED 1.125"", C/C, API 5L GR. BNS PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M / ISO 3183L245NS, ISO 15156",MT
0104004,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 30"", ESPESOR DE PARED 1.375"", C/C, API 5L GR. BNS PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183L245NS, ISO 15156",MT
0104005,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 36"", ESPESOR DE PARED 0.500"", C/C, API 5L GR. BNS PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183 L245NS, ISO 15156",MT
0104006,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 20"", ESPESOR DE PARED 0.875"", C/C, API 5L X65 PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183 L450, ISO 15156-2/NACE MR 0175",MT
0104007,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 24"", ESPESOR DE PARED 0.938"", C/C, API 5L X65 PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183 L450, ISO 15156-2/NACE MR 0175",MT
0104008,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 30"", ESPESOR DE PARED 1.125"", C/C, API 5L X65 PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183 L450, ISO 15156-2/NACE MR 0175",MT
0104009,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 24"", ESPESOR DE PARED 1.125"", C/C, API 5L X65 PSL2 SAW, CON RECUBRIMIENTO TRICAPA (FBE, ADHESIVO Y DE POLIETILENO DE ALTA DENSIDAD PARA TEMPERATURAS HASTA 165°C, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183 L450, ISO 15156-2/NACE MR 0175",MT
0104010,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 24"", ESPESOR DE PARED 1.125"", C/C, API 5L X65 PSL2 SAW,, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183 L450, ISO 15156-2/NACE MR 0175",MT
0104011,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 30"", ESPESOR DE PARED 1.250"", C/C, API 5L X65 PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183 L450, ISO 15156-2/NACE MR 0175",MT
0104012,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 30"", ESPESOR DE PARED 1.5"", C/C, API 5L GR. X52 PSL2 SAW, EXT BISELADOS, ISO 15156-2, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183",MT
0104013,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 30"", ESPESOR DE PARED 1.250"", C/C, API 5L X65 PSL2 SAWL, EXT BISELADOS, ISO 15156-2/NACE MR 0175, ASME B36.10M/ISO 3183 L450",MT
0104014,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 24"", ESPESOR DE PARED 0.375"", C/C, API 5L X52 PSL2 SAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B36.10M/ISO 3183 L450, ISO 15156-2/NACE MR 0175",MT
0104015,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 20"", ESPESOR DE PARED 1.031"", C/C, API 5L GR. B PSL2 LSAW-DSAW, EXT BISELADOS, ESPECIFICACION DE DISEÑO ASME B3610/ISO 3183 LN245, NACE MR 0175/ISO 15156",MT
0104016,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 3"", CEDULA 40, ESPESOR DE PARED 0.216"", C/C, NEGRO, EXT BISELADO, ESPECIFICACION DE DISEÑO ASTM A-120",MT
0104017,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 40, ESPESOR DE PARED 0.216"", C/C, NEGRO, EXT BISELADO, ESPECIFICACION DE DISEÑO ASTM A-120",MT
0104018,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 40, ESPESOR DE PARED 0.216"", C/C, ASTM A-120, NEGRO, EXT THD/NPT, ESPECIFICACION DE DISEÑO ASTM A-120",MT
0104019,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 30, C/C, ACERO AL CARBÓN, EXT STD, TRAMO DE 6 METROS",MT
0104020,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 3/4"", CEDULA 80, C/C, ACERO AL CARBÓN, EXT ROSCADOS, TRAMO DE 6 METROS",MT
0104021,01,04,"TUBO DE ACERO AL CARBON, DIAMETRO 1/2"", CEDULA 80, C/C, ACERO AL CARBÓN, EXT ROSCADOS, TRAMOS DE 6 METROS",MT
0106001,01,06,"TUBING DE, ACERO INOXIDABLE, DIAMETRO 3/8"" OD, ESPESOR 0.049, S/C, 316, TRAMO DE 6.1 MTS",MT
0106002,01,06,"TUBING, TUBING DE, ACERO INOXIDABLE T316, DIAMETRO 1/2"" OD, ESPESOR CAL. 16, S/C, ASTM A269 / ASTM A213",MT
0106003,01,06,"TUBING DE, ACERO INOXIDABLE T316, DIAMETRO 3/8"" OD, ESPESOR CAL. 18, S/C, ASTM A269 / ASTM A213",MT
0106004,01,06,"TUBING, TUBING, ACERO INOXIDABLE, DIAMETRO 3/4"", ESPESOR 0.065"", S/C, ASTM A269 T316",MT
0106005,01,06,"TUBING, TUBING, TUBING, ACERO INOXIDABLE, DIAMETRO 1/2"", ESPESOR 0.065"", S/C, ASTM 269-TP 316L, ASME B31.3",MT
0106006,01,06,"TUBING, TUBING, ACERO INOXIDABLE, DIAMETRO 3/8"", ESPESOR 0.065"", S/C, ASTM A269 T316",MT
0106007,01,06,"TUBING, TUBING, TUBING, ACERO INOXIDABLE, DIAMETRO 1/4"", ESPESOR 0.035"", S/C, ASTM A-269 T316L, PRESIÓN DE TRABAJO 5,100 PSI",MT
0106008,01,06,"TUBING, ACERO INOXIDABLE, DIAMETRO 1/2"", ESPESOR 0.049"", 316L, CALIBRE 18",MT
0106009,01,06,"TUBING, ACERO INOXIDABLE SUPER DUPLEX, DIAMETRO 1/2"" OD, ESPESOR 0.065"", S/C, ASTM A789, ASME B31.3, NACE MR0175, ASME B31.3",MT
0106010,01,06,"TUBING, ACERO INOXIDABLE, DIAMETRO 3/4"", ESPESOR 0.109"", ASTM 269, T316/L",MT
0106011,01,06,"TUBING, ACERO INOXIDABLE, DIAMETRO 1/4"", ESPESOR 0.109"", ASTM 269, T316/L",MT
0106012,01,06,"TUBING, ACERO 600 PSI, DIAMETRO 1/2"", ESPESOR -, INOXIDABLE",MT
