rubro,subcuenta
SERVICIOS,ANALISIS CAUSA RAIZ
SERVICIOS,ANALISIS DE RIESGO
SERVICIOS,ANALISIS DE VIBRACION
SERVICIOS,ASESORIA ESPECIAL INTERNA
SERVICIOS,ASESORIA ESPECIAL OPERATIVA
SERVICIOS,ASESORIA ESPECIAL SINDICAL
SERVICIOS,ASESORIA ESPECIAL VIAL
SERVICIOS,BASES LICITACION Y CONCURSOS
SERVICIOS,CARGOS EXTRAORDINARIOS
SERVICIOS,CERTIFICACION
SERVICIOS,COLOCACION DE PILOTE
SERVICIOS,CORREOS Y MENSAJERIAS
SERVICIOS,CUOTAS Y SUSCRIPCIONES
SERVICIOS,DEDUCIBLE POR SINIESTRO
SERVICIOS,DESARROLLO DE SOFTWARE
SERVICIOS,FIANZAS
SERVICIOS,FIANZAS
SERVICIOS,FLETES  EXTRANJEROS
SERVICIOS,FLETES NACIONALES
SERVICIOS,GASTOS DE IMPORTACION
SERVICIOS,GTO EXPED DE SEG/TRAMITE
SERVICIOS,HIELO Y AGUA
SERVICIOS,HONORARIOS A PERSONA FISICA
SERVICIOS,IMPUESTOS Y DERECHOS
SERVICIOS,INTERESES
SERVICIOS,INTERNET Y DATOS
SERVICIOS,MANIOBRAS
SERVICIOS,MANTENIMIENTO A VEHICULOS
SERVICIOS,MANTTO A EQUIPOS DE SEGURIDAD
SERVICIOS,MANTTO DE MOBILIARIO Y EQUIPO
SERVICIOS,MANTTO PREV A EQUIPOS DE MEDICION
SERVICIOS,MANTTO Y ACONDICION DE CAMPER
SERVICIOS,MECANICA DE SUELOS
SERVICIOS,OTROS DERECHOS
SERVICIOS,PACMA PEMEX EXPLORACION
SERVICIOS,PAGO DE MULTAS
SERVICIOS,PAGO DE RECARGOS
SERVICIOS,RECARGA DE GASES INDUSTRIALES
SERVICIOS,RENTA DE MAQUINARIA Y EQUIPO
SERVICIOS,RENTA DE SANITARIOS
SERVICIOS,REPARACIONES
SERVICIOS,SEGUROS
SERVICIOS,SERV DE DISEÑO Y ROTULACION
SERVICIOS,SERV DE DISPOS DE RESIDUOS
SERVICIOS,SERV DE MANTO A INSTALACIONES
SERVICIOS,SERV DE RECARGA DE EXTINTORES
SERVICIOS,SERV DE TRANSMISION DE DATOS
SERVICIOS,SERV PROFES DE PERSONA MORAL
SERVICIOS,SERV Y MANTTO A EQ INFORMATICO
SERVICIOS,SERVICIO DE AUTOLAVADO
SERVICIOS,SERVICIO DE EQPO Y MAQUINARIA
SERVICIOS,SERVICIO REPRESENTACION LEGAL
SERVICIOS,SERVICIOS DE BANQUETERIA
SERVICIOS,SERVICIOS DE COPIADO
SERVICIOS,SERVICIOS DE TAXI
SERVICIOS,SERVICIOS PREOPERATIVOS
SERVICIOS,SERVICIOS RADIOGRAFICOS
SERVICIOS,TENENCIA
SERVICIOS,TOPOGRAFIA
SERVICIOS,VERIFICACIONES
SERVICIOS DE CAPACITACION,SERVICIOS DE CAPACITACION
SERVICIOS DE SALUD,SERVICIOS MEDICOS
UNIFORMES,UNIFORMES
VEHICULOS Y COMBUSTIBLE,ARRENDAMIENTO DE VEHIC
VEHICULOS Y COMBUSTIBLE,COMBUSTIBLES
VIATICOS,ALIMENTACION
VIATICOS,CASETAS PUENTES Y PEAJES
VIATICOS,SERV DE TRANSPORTAC AEREA
VIATICOS,SERV DE TRANSPORTAC TERRESTRE
VIATICOS,SERVICIOS DE HOSPEDAJE
