codigo_articulo,grupo,nombre_grupo,subgrupo,nombre_subgrupo,unidad_medida,descripcion
9901005,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,DESARROLLO HIDRÁULICO
9901006,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,TELEMETRÍA
9901007,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,MECANICA DE SUELOS
9901008,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,BOMBEO DE CONCRETO
9901009,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,MEMORIA DE CÁLCULO
9901010,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,SERVICIOS DE REPARACIÓN
9901011,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,ANALISIS CROMATOGRAFICO
9901012,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,LABORATORIOS O ENSAYOS
9901013,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,CORTE Y SOLDADURA
9901014,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,SERVICIOS DE PREFABRICADOS
9901015,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,SV,SERVICIO DE VERIFICACION DE INSTALACIONES
