rubro,subcuenta,ejemplo_del_excel
SERVICIOS,ANALISIS DE RIESGO,
SERVICIOS,ANALISIS DE VIBRACION,
SERVICIOS,BASES LICITACION Y CONCURSOS,
SERVICIOS,CARGOS EXTRAORDINARIOS,
SERVICIOS,CERTIFICACION,
SERVICIOS,COLOCACION DE PILOTE,
SERVICIOS,CORREOS Y MENSAJERIAS,
SERVICIOS,CUOTAS Y SUSCRIPCIONES,"zoom, renovación dropbox, renovación licencias SNAP, renovación antivirus, renovación office, servicio anual de hosting web, correo electronico y dominio, cemefi, inscripcion congreso villahermosa, congreso colombia inscripción, renovación plataforma de licitaciones, renovación aquiles, renovacion plataforma proveedores colombia"
SERVICIOS,DEDUCIBLE POR SINIESTRO,
SERVICIOS,DESARROLLO DE SOFTWARE,
SERVICIOS,FIANZAS,
SERVICIOS,FLETES  EXTRANJEROS,
SERVICIOS,FLETES NACIONALES,
SERVICIOS,GASTOS DE IMPORTACION,
SERVICIOS,GTO EXPED DE SEG/TRAMITE,
SERVICIOS,HIELO Y AGUA,
SERVICIOS,HONORARIOS A PERSONA FISICA,honorarios doctos Assam sucursal Colombia y apostilla de documentos; extra requerimientos de documentos legales para tramites
SERVICIOS,IMPUESTOS Y DERECHOS,
SERVICIOS,INTERNET Y DATOS,internet oficina veracruz
SERVICIOS,MANIOBRAS,
SERVICIOS,MANTENIMIENTO A VEHICULOS,
SERVICIOS,MANTTO A EQUIPOS DE SEGURIDAD,
SERVICIOS,MANTTO DE MOBILIARIO Y EQUIPO,
SERVICIOS,MANTTO PREV A EQUIPOS DE MEDICION,
SERVICIOS,MANTTO Y ACONDICION DE CAMPER,
SERVICIOS,MECANICA DE SUELOS,
SERVICIOS,OTROS DERECHOS,
SERVICIOS,PACMA PEMEX EXPLORACION,
SERVICIOS,PAGO DE RECARGOS,
SERVICIOS,RECARGA DE GASES INDUSTRIALES,
SERVICIOS,RENTA DE MAQUINARIA Y EQUIPO,
SERVICIOS,RENTA DE SANITARIOS,
SERVICIOS,REPARACIONES,
SERVICIOS,SEGUROS,
SERVICIOS,SERV DE DISEÑO Y ROTULACION,
SERVICIOS,SERV DE DISPOS DE RESIDUOS,
SERVICIOS,SERV DE MANTO A INSTALACIONES,
SERVICIOS,SERV DE RECARGA DE EXTINTORES,
SERVICIOS,SERV DE TRANSMISION DE DATOS,
SERVICIOS,SERV PROFES DE PERSONA MORAL,"Auditoria estados financieros 2020, estudio de precios de transferencia 2019, estudio de precios de transferencia 2020, gastos Arturo Tangarife Colombia, gastos revisor fiscal Colombia, EQA, reembolsos CIA, asesoria mensual leonides por 6 meses"
SERVICIOS,SERV Y MANTTO A EQ INFORMATICO,
SERVICIOS,SERVICIO DE AUTOLAVADO,
SERVICIOS,SERVICIO DE EQPO Y MAQUINARIA,
SERVICIOS,SERVICIO REPRESENTACION LEGAL,
SERVICIOS,SERVICIOS DE BANQUETERIA,
SERVICIOS,SERVICIOS DE COPIADO,"Renta de copiadora oficina veracruz, la renta es por consumo"
SERVICIOS,SERVICIOS DE TAXI,
SERVICIOS,SERVICIOS PREOPERATIVOS,
SERVICIOS,SERVICIOS RADIOGRAFICOS,
SERVICIOS,TENENCIA,
SERVICIOS,TOPOGRAFIA,
SERVICIOS,VERIFICACIONES,
SERVICIOS,ASESORIA ESPECIAL INTERNA,
SERVICIOS,ASESORIA ESPECIAL OPERATIVA,
SERVICIOS,ASESORIA ESPECIAL SINDICAL,
SERVICIOS,ASESORIA ESPECIAL VIAL,
SERVICIOS,FIANZAS,
SERVICIOS,INTERESES,
SERVICIOS,PAGO DE MULTAS,
SERVICIOS DE CAPACITACION,SERVICIOS DE CAPACITACION,"Maestría Guillermo, Maestría Yael, Actualización fiscal Giovanna, Guillermo, Anel, Curso Ingles Giovanna 6 meses, Curso ingles Maria del Rosario y Cristina 6 meses, Curso extrajero JLMM y extra"
SERVICIOS DE SALUD,SERVICIOS MEDICOS,
UNIFORMES,UNIFORMES,
VEHICULOS Y COMBUSTIBLE,ARRENDAMIENTO DE VEHIC,
VEHICULOS Y COMBUSTIBLE,COMBUSTIBLES,
VIATICOS,ALIMENTACION,
VIATICOS,CASETAS PUENTES Y PEAJES,
VIATICOS,SERV DE TRANSPORTAC AEREA,
VIATICOS,SERV DE TRANSPORTAC TERRESTRE,
VIATICOS,SERVICIOS DE HOSPEDAJE,
# ─── AGREGADAS EL 2026-09-04, dictadas por Anel ────────────────────────────
# Estas cuatro NO vienen del Excel de contabilidad: son categorías que el menú
# de la app ofrece y que no existían en el catálogo 2027. Anel dictó a qué rubro
# pertenecen. Antes caían en SIN CATEGORÍA y bloqueaban el "Excel para Apps".
# CONSERVARLAS si este archivo se regenera leyendo el Excel de Anel: una
# regeneración las borraría, porque allá no están.
MATERIALES,HERRAMIENTAS,
SERVICIOS,RENTA DE MAQUINARIA,
VIATICOS,TRANSPORTE,
SERVICIOS,TELECOMUNICACIONES,
